name,reconstructed_images_path,nmf,dataset,noises,noise_p,lambda,alpha,beta,none,acc,nmi,rmse
robust_yaleB_0_5_0,./images/robust_yaleB_0_5_0,robust,yaleB,"['block_noise', 'blur_noise']",0.0,0.5,,,,0.1243093922651933,0.1477166135771123,0.0873536840081214
robust_yaleB_0_5_1,./images/robust_yaleB_0_5_1,robust,yaleB,"['block_noise', 'blur_noise']",0.0,0.5,,,,0.1312154696132596,0.1752473362779786,0.0865455195307731
robust_yaleB_0_5_2,./images/robust_yaleB_0_5_2,robust,yaleB,"['block_noise', 'blur_noise']",0.0,0.5,,,,0.1312154696132596,0.1482046234850738,0.0867353528738021
robust_yaleB_0_5_3,./images/robust_yaleB_0_5_3,robust,yaleB,"['block_noise', 'blur_noise']",0.0,0.5,,,,0.1385819521178637,0.1474591247100228,0.0871136859059333
robust_yaleB_0_5_4,./images/robust_yaleB_0_5_4,robust,yaleB,"['block_noise', 'blur_noise']",0.0,0.5,,,,0.1279926335174954,0.1442031504900005,0.0868506208062172
robust_yaleB_0_8_0,./images/robust_yaleB_0_8_0,robust,yaleB,"['block_noise', 'blur_noise']",0.0,0.8,,,,0.1362799263351749,0.1754144436987535,0.0871900394558906
robust_yaleB_0_8_1,./images/robust_yaleB_0_8_1,robust,yaleB,"['block_noise', 'blur_noise']",0.0,0.8,,,,0.1335174953959484,0.165682951879944,0.0866729617118835
robust_yaleB_0_8_2,./images/robust_yaleB_0_8_2,robust,yaleB,"['block_noise', 'blur_noise']",0.0,0.8,,,,0.1339779005524861,0.1627613766766431,0.0863469615578651
robust_yaleB_0_8_3,./images/robust_yaleB_0_8_3,robust,yaleB,"['block_noise', 'blur_noise']",0.0,0.8,,,,0.1372007366482504,0.1612862727756499,0.0867028310894966
robust_yaleB_0_8_4,./images/robust_yaleB_0_8_4,robust,yaleB,"['block_noise', 'blur_noise']",0.0,0.8,,,,0.1256906077348066,0.1577170349551226,0.0866611525416374
robust_yaleB_0_10_0,./images/robust_yaleB_0_10_0,robust,yaleB,"['block_noise', 'blur_noise']",0.0,1.0,,,,0.1325966850828729,0.1790355233300205,0.0869622603058815
robust_yaleB_0_10_1,./images/robust_yaleB_0_10_1,robust,yaleB,"['block_noise', 'blur_noise']",0.0,1.0,,,,0.1256906077348066,0.1597528507740803,0.0866162776947021
robust_yaleB_0_10_2,./images/robust_yaleB_0_10_2,robust,yaleB,"['block_noise', 'blur_noise']",0.0,1.0,,,,0.1252302025782689,0.154219016808915,0.0864527076482772
robust_yaleB_0_10_3,./images/robust_yaleB_0_10_3,robust,yaleB,"['block_noise', 'blur_noise']",0.0,1.0,,,,0.1316758747697974,0.1533544641751008,0.086092785000801
robust_yaleB_0_10_4,./images/robust_yaleB_0_10_4,robust,yaleB,"['block_noise', 'blur_noise']",0.0,1.0,,,,0.1348987108655616,0.1523654634507754,0.0870066508650779
sparse_yaleB_0_5_0,./images/sparse_yaleB_0_5_0,sparse,yaleB,"['block_noise', 'blur_noise']",0.0,,0.5,0.5,,0.1270718232044199,0.1729469921271858,0.0982094407081604
sparse_yaleB_0_5_1,./images/sparse_yaleB_0_5_1,sparse,yaleB,"['block_noise', 'blur_noise']",0.0,,0.5,0.5,,0.1197053406998158,0.1458481727035386,0.098413236439228
sparse_yaleB_0_5_2,./images/sparse_yaleB_0_5_2,sparse,yaleB,"['block_noise', 'blur_noise']",0.0,,0.5,0.5,,0.1275322283609576,0.1596627743046542,0.0982274636626243
sparse_yaleB_0_5_3,./images/sparse_yaleB_0_5_3,sparse,yaleB,"['block_noise', 'blur_noise']",0.0,,0.5,0.5,,0.1224677716390423,0.1373616855232879,0.0987423285841941
sparse_yaleB_0_5_4,./images/sparse_yaleB_0_5_4,sparse,yaleB,"['block_noise', 'blur_noise']",0.0,,0.5,0.5,,0.115561694290976,0.1464489924155808,0.0985729396343231
sparse_yaleB_0_8_0,./images/sparse_yaleB_0_8_0,sparse,yaleB,"['block_noise', 'blur_noise']",0.0,,0.8,0.8,,0.1325966850828729,0.1441403404135812,0.0993886888027191
sparse_yaleB_0_8_1,./images/sparse_yaleB_0_8_1,sparse,yaleB,"['block_noise', 'blur_noise']",0.0,,0.8,0.8,,0.117403314917127,0.1315834308925573,0.0990587323904037
sparse_yaleB_0_8_2,./images/sparse_yaleB_0_8_2,sparse,yaleB,"['block_noise', 'blur_noise']",0.0,,0.8,0.8,,0.1316758747697974,0.1506884369153769,0.0991937741637229
sparse_yaleB_0_8_3,./images/sparse_yaleB_0_8_3,sparse,yaleB,"['block_noise', 'blur_noise']",0.0,,0.8,0.8,,0.1233885819521178,0.1462871579416163,0.0991825237870216
sparse_yaleB_0_8_4,./images/sparse_yaleB_0_8_4,sparse,yaleB,"['block_noise', 'blur_noise']",0.0,,0.8,0.8,,0.1109576427255985,0.1155161469100198,0.0989774242043495
sparse_yaleB_0_10_0,./images/sparse_yaleB_0_10_0,sparse,yaleB,"['block_noise', 'blur_noise']",0.0,,1.0,1.0,,0.1247697974217311,0.1305735400501946,0.0998905375599861
sparse_yaleB_0_10_1,./images/sparse_yaleB_0_10_1,sparse,yaleB,"['block_noise', 'blur_noise']",0.0,,1.0,1.0,,0.1252302025782689,0.14751059281988,0.0996899306774139
sparse_yaleB_0_10_2,./images/sparse_yaleB_0_10_2,sparse,yaleB,"['block_noise', 'blur_noise']",0.0,,1.0,1.0,,0.1160220994475138,0.1323962791324029,0.0997872203588485
sparse_yaleB_0_10_3,./images/sparse_yaleB_0_10_3,sparse,yaleB,"['block_noise', 'blur_noise']",0.0,,1.0,1.0,,0.1206261510128913,0.1489271371574408,0.0998658388853073
sparse_yaleB_0_10_4,./images/sparse_yaleB_0_10_4,sparse,yaleB,"['block_noise', 'blur_noise']",0.0,,1.0,1.0,,0.1183241252302025,0.1397023649996402,0.0997190251946449
multiplicative_update_yaleB_0_0_0,./images/multiplicative_update_yaleB_0_0_0,multiplicative_update,yaleB,"['block_noise', 'blur_noise']",0.0,,,,0.0,0.1058931860036832,0.1376538539207315,0.0983200073242187
multiplicative_update_yaleB_0_0_1,./images/multiplicative_update_yaleB_0_0_1,multiplicative_update,yaleB,"['block_noise', 'blur_noise']",0.0,,,,0.0,0.1068139963167587,0.1250077658117271,0.0981693118810653
multiplicative_update_yaleB_0_0_2,./images/multiplicative_update_yaleB_0_0_2,multiplicative_update,yaleB,"['block_noise', 'blur_noise']",0.0,,,,0.0,0.1183241252302025,0.1438096263117723,0.0986655429005622
multiplicative_update_yaleB_0_0_3,./images/multiplicative_update_yaleB_0_0_3,multiplicative_update,yaleB,"['block_noise', 'blur_noise']",0.0,,,,0.0,0.1141804788213628,0.1262537771785526,0.0982708036899566
multiplicative_update_yaleB_0_0_4,./images/multiplicative_update_yaleB_0_0_4,multiplicative_update,yaleB,"['block_noise', 'blur_noise']",0.0,,,,0.0,0.1201657458563535,0.1337177141135212,0.0983716994524002
robust_yaleB_15_5_0,./images/robust_yaleB_15_5_0,robust,yaleB,"['block_noise', 'blur_noise']",0.15,0.5,,,,0.1160220994475138,0.139098402027144,0.0912722796201706
